# Age (lower edge), Age (upper edge), Log Gross Income (lower edge), Log Gross Income (upper edge), Probability
15, 25, 8.2940496401, 8.44899339925, 0.00808111973213
15, 25, 8.44899339925, 8.60393715841, 0.00907324512369
15, 25, 8.60393715841, 8.75888091756, 0.03961015375
15, 25, 8.75888091756, 8.91382467671, 0.0192997753837
15, 25, 8.91382467671, 9.06876843586, 0.0359674817625
15, 25, 9.06876843586, 9.22371219502, 0.0285889325785
15, 25, 9.22371219502, 9.37865595417, 0.0401321726648
15, 25, 9.37865595417, 9.53359971332, 0.0701079121567
15, 25, 9.53359971332, 9.68854347247, 0.0923014194188
15, 25, 9.68854347247, 9.84348723163, 0.0951492948872
15, 25, 9.84348723163, 9.99843099078, 0.0736219817238
15, 25, 9.99843099078, 10.1533747499, 0.128467321325
15, 25, 10.1533747499, 10.3083185091, 0.0965994258064
15, 25, 10.3083185091, 10.4632622682, 0.0823437815157
15, 25, 10.4632622682, 10.6182060274, 0.0622006636803
15, 25, 10.6182060274, 10.7731497865, 0.038849770769
15, 25, 10.7731497865, 10.9280935457, 0.0289557508784
15, 25, 10.9280935457, 11.0830373048, 0.00821031779239
15, 25, 11.0830373048, 11.237981064, 0.0149346026995
15, 25, 11.237981064, 11.3929248231, 0.00831122912432
15, 25, 11.3929248231, 11.5478685823, 0.0140522240361
15, 25, 11.5478685823, 11.7028123415, 0.00255436957194
15, 25, 11.7028123415, 11.8577561006, 0.0
15, 25, 11.8577561006, 12.0126998598, 0.0
15, 25, 12.0126998598, 12.1676436189, 0.00258705361899
25, 35, 8.2940496401, 8.44899339925, 0.00198080496508
25, 35, 8.44899339925, 8.60393715841, 0.000886550513781
25, 35, 8.60393715841, 8.75888091756, 0.000889871581351
25, 35, 8.75888091756, 8.91382467671, 0.00803257542523
25, 35, 8.91382467671, 9.06876843586, 0.00894557887196
25, 35, 9.06876843586, 9.22371219502, 0.0129814159087
25, 35, 9.22371219502, 9.37865595417, 0.0148460315116
25, 35, 9.37865595417, 9.53359971332, 0.0221456729904
25, 35, 9.53359971332, 9.68854347247, 0.0293134355103
25, 35, 9.68854347247, 9.84348723163, 0.046127950193
25, 35, 9.84348723163, 9.99843099078, 0.0616568021745
25, 35, 9.99843099078, 10.1533747499, 0.0611579812279
25, 35, 10.1533747499, 10.3083185091, 0.0797472885011
25, 35, 10.3083185091, 10.4632622682, 0.107394200412
25, 35, 10.4632622682, 10.6182060274, 0.0929100979121
25, 35, 10.6182060274, 10.7731497865, 0.102830447078
25, 35, 10.7731497865, 10.9280935457, 0.0885601695241
25, 35, 10.9280935457, 11.0830373048, 0.0934190684194
25, 35, 11.0830373048, 11.237981064, 0.0550073579292
25, 35, 11.237981064, 11.3929248231, 0.0495736234884
25, 35, 11.3929248231, 11.5478685823, 0.0254220893424
25, 35, 11.5478685823, 11.7028123415, 0.0172938465093
25, 35, 11.7028123415, 11.8577561006, 0.0121357568715
25, 35, 11.8577561006, 12.0126998598, 0.0049917064464
25, 35, 12.0126998598, 12.1676436189, 0.00174967669224
35, 45, 8.2940496401, 8.44899339925, 0.00227949303373
35, 45, 8.44899339925, 8.60393715841, 0.00664173000515
35, 45, 8.60393715841, 8.75888091756, 0.00257706737824
35, 45, 8.75888091756, 8.91382467671, 0.00914901818933
35, 45, 8.91382467671, 9.06876843586, 0.00879538316509
35, 45, 9.06876843586, 9.22371219502, 0.0142315184475
35, 45, 9.22371219502, 9.37865595417, 0.0113832923522
35, 45, 9.37865595417, 9.53359971332, 0.0251280188947
35, 45, 9.53359971332, 9.68854347247, 0.0345808344618
35, 45, 9.68854347247, 9.84348723163, 0.0487406421441
35, 45, 9.84348723163, 9.99843099078, 0.0504283683406
35, 45, 9.99843099078, 10.1533747499, 0.0632161716388
35, 45, 10.1533747499, 10.3083185091, 0.0753867003532
35, 45, 10.3083185091, 10.4632622682, 0.08416443096
35, 45, 10.4632622682, 10.6182060274, 0.101357034586
35, 45, 10.6182060274, 10.7731497865, 0.091679499229
35, 45, 10.7731497865, 10.9280935457, 0.0953016925009
35, 45, 10.9280935457, 11.0830373048, 0.0839868799046
35, 45, 11.0830373048, 11.237981064, 0.0640921841266
35, 45, 11.237981064, 11.3929248231, 0.0450503511806
35, 45, 11.3929248231, 11.5478685823, 0.0329522224914
35, 45, 11.5478685823, 11.7028123415, 0.0168179646467
35, 45, 11.7028123415, 11.8577561006, 0.0172076483041
35, 45, 11.8577561006, 12.0126998598, 0.00812451978275
35, 45, 12.0126998598, 12.1676436189, 0.00672733388289
45, 55, 8.2940496401, 8.44899339925, 0.0042180074201
45, 55, 8.44899339925, 8.60393715841, 0.0021222340766
45, 55, 8.60393715841, 8.75888091756, 0.00538726676477
45, 55, 8.75888091756, 8.91382467671, 0.0064530569421
45, 55, 8.91382467671, 9.06876843586, 0.012038342933
45, 55, 9.06876843586, 9.22371219502, 0.0145975934778
45, 55, 9.22371219502, 9.37865595417, 0.0193241758322
45, 55, 9.37865595417, 9.53359971332, 0.027969515616
45, 55, 9.53359971332, 9.68854347247, 0.0347146795953
45, 55, 9.68854347247, 9.84348723163, 0.0420528551381
45, 55, 9.84348723163, 9.99843099078, 0.0514566356268
45, 55, 9.99843099078, 10.1533747499, 0.0539998579197
45, 55, 10.1533747499, 10.3083185091, 0.0556513125157
45, 55, 10.3083185091, 10.4632622682, 0.0769713371911
45, 55, 10.4632622682, 10.6182060274, 0.085701901039
45, 55, 10.6182060274, 10.7731497865, 0.0855849523944
45, 55, 10.7731497865, 10.9280935457, 0.095905242062
45, 55, 10.9280935457, 11.0830373048, 0.0805738665137
45, 55, 11.0830373048, 11.237981064, 0.0768996613926
45, 55, 11.237981064, 11.3929248231, 0.0668470554308
45, 55, 11.3929248231, 11.5478685823, 0.0351269103177
45, 55, 11.5478685823, 11.7028123415, 0.0285263714941
45, 55, 11.7028123415, 11.8577561006, 0.0168868976515
45, 55, 11.8577561006, 12.0126998598, 0.0127966141074
45, 55, 12.0126998598, 12.1676436189, 0.00819365654739
55, 65, 8.2940496401, 8.44899339925, 0.00217544484634
55, 65, 8.44899339925, 8.60393715841, 0.00413201281814
55, 65, 8.60393715841, 8.75888091756, 0.00569990074518
55, 65, 8.75888091756, 8.91382467671, 0.011359788379
55, 65, 8.91382467671, 9.06876843586, 0.0181034072198
55, 65, 9.06876843586, 9.22371219502, 0.0278387460946
55, 65, 9.22371219502, 9.37865595417, 0.0416396448929
55, 65, 9.37865595417, 9.53359971332, 0.0461314053427
55, 65, 9.53359971332, 9.68854347247, 0.0470997767107
55, 65, 9.68854347247, 9.84348723163, 0.0504206347422
55, 65, 9.84348723163, 9.99843099078, 0.0589563938713
55, 65, 9.99843099078, 10.1533747499, 0.0546050119834
55, 65, 10.1533747499, 10.3083185091, 0.0657549202703
55, 65, 10.3083185091, 10.4632622682, 0.0823165912851
55, 65, 10.4632622682, 10.6182060274, 0.0798147335785
55, 65, 10.6182060274, 10.7731497865, 0.0835851553915
55, 65, 10.7731497865, 10.9280935457, 0.0710091026458
55, 65, 10.9280935457, 11.0830373048, 0.0619117348415
55, 65, 11.0830373048, 11.237981064, 0.064769094345
55, 65, 11.237981064, 11.3929248231, 0.0472474607133
55, 65, 11.3929248231, 11.5478685823, 0.0321739893917
55, 65, 11.5478685823, 11.7028123415, 0.0194202196845
55, 65, 11.7028123415, 11.8577561006, 0.0121843942775
55, 65, 11.8577561006, 12.0126998598, 0.00537097614551
55, 65, 12.0126998598, 12.1676436189, 0.00627945978363
65, 75, 8.2940496401, 8.44899339925, 0.00186012180956
65, 75, 8.44899339925, 8.60393715841, 0.00288316467139
65, 75, 8.60393715841, 8.75888091756, 0.00373565913628
65, 75, 8.75888091756, 8.91382467671, 0.0146104767854
65, 75, 8.91382467671, 9.06876843586, 0.0227653282989
65, 75, 9.06876843586, 9.22371219502, 0.0366663944152
65, 75, 9.22371219502, 9.37865595417, 0.058029248979
65, 75, 9.37865595417, 9.53359971332, 0.0720695817931
65, 75, 9.53359971332, 9.68854347247, 0.0884389892799
65, 75, 9.68854347247, 9.84348723163, 0.0941851919152
65, 75, 9.84348723163, 9.99843099078, 0.0847133456132
65, 75, 9.99843099078, 10.1533747499, 0.0845169006001
65, 75, 10.1533747499, 10.3083185091, 0.072277302912
65, 75, 10.3083185091, 10.4632622682, 0.082534590841
65, 75, 10.4632622682, 10.6182060274, 0.0570060466375
65, 75, 10.6182060274, 10.7731497865, 0.0665063330661
65, 75, 10.7731497865, 10.9280935457, 0.0463037731675
65, 75, 10.9280935457, 11.0830373048, 0.045245877204
65, 75, 11.0830373048, 11.237981064, 0.0211917237508
65, 75, 11.237981064, 11.3929248231, 0.0178279380365
65, 75, 11.3929248231, 11.5478685823, 0.0115453293738
65, 75, 11.5478685823, 11.7028123415, 0.00702110141162
65, 75, 11.7028123415, 11.8577561006, 0.00394568204992
65, 75, 11.8577561006, 12.0126998598, 0.001542069544
65, 75, 12.0126998598, 12.1676436189, 0.00257782870804
75, 85, 8.2940496401, 8.44899339925, 0.00246605423192
75, 85, 8.44899339925, 8.60393715841, 0.00397231541206
75, 85, 8.60393715841, 8.75888091756, 0.0107794803507
75, 85, 8.75888091756, 8.91382467671, 0.0247457333445
75, 85, 8.91382467671, 9.06876843586, 0.0370647145747
75, 85, 9.06876843586, 9.22371219502, 0.0539951205495
75, 85, 9.22371219502, 9.37865595417, 0.0747345277555
75, 85, 9.37865595417, 9.53359971332, 0.0901926299242
75, 85, 9.53359971332, 9.68854347247, 0.115710689477
75, 85, 9.68854347247, 9.84348723163, 0.114547031715
75, 85, 9.84348723163, 9.99843099078, 0.0849772063954
75, 85, 9.99843099078, 10.1533747499, 0.0733065336802
75, 85, 10.1533747499, 10.3083185091, 0.0776482677874
75, 85, 10.3083185091, 10.4632622682, 0.0576980857944
75, 85, 10.4632622682, 10.6182060274, 0.0486481842688
75, 85, 10.6182060274, 10.7731497865, 0.0419846598974
75, 85, 10.7731497865, 10.9280935457, 0.0313292886272
75, 85, 10.9280935457, 11.0830373048, 0.0192335075115
75, 85, 11.0830373048, 11.237981064, 0.0150559443836
75, 85, 11.237981064, 11.3929248231, 0.0107041968697
75, 85, 11.3929248231, 11.5478685823, 0.00485849188135
75, 85, 11.5478685823, 11.7028123415, 0.00232582592379
75, 85, 11.7028123415, 11.8577561006, 0.00176181390829
75, 85, 11.8577561006, 12.0126998598, 0.000831115748478
75, 85, 12.0126998598, 12.1676436189, 0.0014285799882
85, 95, 8.2940496401, 8.44899339925, 0.0
85, 95, 8.44899339925, 8.60393715841, 0.00125197413425
85, 95, 8.60393715841, 8.75888091756, 0.0102347205794
85, 95, 8.75888091756, 8.91382467671, 0.0215439502315
85, 95, 8.91382467671, 9.06876843586, 0.0444380853962
85, 95, 9.06876843586, 9.22371219502, 0.0851211852632
85, 95, 9.22371219502, 9.37865595417, 0.0863158788104
85, 95, 9.37865595417, 9.53359971332, 0.103504099191
85, 95, 9.53359971332, 9.68854347247, 0.127963610219
85, 95, 9.68854347247, 9.84348723163, 0.107089225265
85, 95, 9.84348723163, 9.99843099078, 0.120133180046
85, 95, 9.99843099078, 10.1533747499, 0.0939085331678
85, 95, 10.1533747499, 10.3083185091, 0.0563514319552
85, 95, 10.3083185091, 10.4632622682, 0.0367545597882
85, 95, 10.4632622682, 10.6182060274, 0.0386100322127
85, 95, 10.6182060274, 10.7731497865, 0.0242498559526
85, 95, 10.7731497865, 10.9280935457, 0.0126582618339
85, 95, 10.9280935457, 11.0830373048, 0.0117079446536
85, 95, 11.0830373048, 11.237981064, 0.00698111246837
85, 95, 11.237981064, 11.3929248231, 0.00176781547408
85, 95, 11.3929248231, 11.5478685823, 0.00293133539926
85, 95, 11.5478685823, 11.7028123415, 0.00417093508363
85, 95, 11.7028123415, 11.8577561006, 0.000517979348432
85, 95, 11.8577561006, 12.0126998598, 0.00123353282021
85, 95, 12.0126998598, 12.1676436189, 0.00056076070521
